ANÁLISIS LÉXICO - algoritmos/algoritmo_Alex.php
Contribución de: Alex-Benites
Fecha: 29/06/2025 17:59:45
============================================================

ESTADO DEL ANÁLISIS:  ANÁLISIS EXITOSO

TOKENS ENCONTRADOS:
----------------------------------------
  1. Token: TAG_INICIO      | Valor: '<?php' | Línea: 102
  2. Token: VARIABLE        | Valor: '$cola' | Línea: 106
  3. Token: ASIGNAR         | Valor: '=' | Línea: 106
  4. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 106
  5. Token: CORCHETE_DER    | Valor: ']' | Línea: 106
  6. Token: PUNTO_COMA      | Valor: ';' | Línea: 106
  7. Token: ECHO            | Valor: 'echo' | Línea: 109
  8. Token: CADENA          | Valor: '"Estado inicial de la cola:\n"' | Línea: 109
  9. Token: PUNTO_COMA      | Valor: ';' | Línea: 109
 10. Token: IDENTIFICADOR   | Valor: 'print_r' | Línea: 110
 11. Token: PAREN_IZQ       | Valor: '(' | Línea: 110
 12. Token: VARIABLE        | Valor: '$cola' | Línea: 110
 13. Token: PAREN_DER       | Valor: ')' | Línea: 110
 14. Token: PUNTO_COMA      | Valor: ';' | Línea: 110
 15. Token: VARIABLE        | Valor: '$cola' | Línea: 113
 16. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 113
 17. Token: CORCHETE_DER    | Valor: ']' | Línea: 113
 18. Token: ASIGNAR         | Valor: '=' | Línea: 113
 19. Token: CADENA          | Valor: '"Cliente 1"' | Línea: 113
 20. Token: PUNTO_COMA      | Valor: ';' | Línea: 113
 21. Token: VARIABLE        | Valor: '$cola' | Línea: 114
 22. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 114
 23. Token: CORCHETE_DER    | Valor: ']' | Línea: 114
 24. Token: ASIGNAR         | Valor: '=' | Línea: 114
 25. Token: CADENA          | Valor: '"Cliente 2"' | Línea: 114
 26. Token: PUNTO_COMA      | Valor: ';' | Línea: 114
 27. Token: VARIABLE        | Valor: '$cola' | Línea: 115
 28. Token: CORCHETE_IZQ    | Valor: '[' | Línea: 115
 29. Token: CORCHETE_DER    | Valor: ']' | Línea: 115
 30. Token: ASIGNAR         | Valor: '=' | Línea: 115
 31. Token: CADENA          | Valor: '"Cliente 3"' | Línea: 115
 32. Token: PUNTO_COMA      | Valor: ';' | Línea: 115
 33. Token: ECHO            | Valor: 'echo' | Línea: 117
 34. Token: CADENA          | Valor: '"\nEstado de la cola después de hacer ENQUEUE:\n"' | Línea: 117
 35. Token: PUNTO_COMA      | Valor: ';' | Línea: 117
 36. Token: IDENTIFICADOR   | Valor: 'print_r' | Línea: 118
 37. Token: PAREN_IZQ       | Valor: '(' | Línea: 118
 38. Token: VARIABLE        | Valor: '$cola' | Línea: 118
 39. Token: PAREN_DER       | Valor: ')' | Línea: 118
 40. Token: PUNTO_COMA      | Valor: ';' | Línea: 118
 41. Token: VARIABLE        | Valor: '$clienteAtendido' | Línea: 121
 42. Token: ASIGNAR         | Valor: '=' | Línea: 121
 43. Token: IDENTIFICADOR   | Valor: 'array_shift' | Línea: 121
 44. Token: PAREN_IZQ       | Valor: '(' | Línea: 121
 45. Token: VARIABLE        | Valor: '$cola' | Línea: 121
 46. Token: PAREN_DER       | Valor: ')' | Línea: 121
 47. Token: PUNTO_COMA      | Valor: ';' | Línea: 121
 48. Token: ECHO            | Valor: 'echo' | Línea: 123
 49. Token: CADENA          | Valor: '"\nCliente atendido (DEQUEUE): "' | Línea: 123
 50. Token: PUNTO           | Valor: '.' | Línea: 123
 51. Token: VARIABLE        | Valor: '$clienteAtendido' | Línea: 123
 52. Token: PUNTO           | Valor: '.' | Línea: 123
 53. Token: CADENA          | Valor: '"\n"' | Línea: 123
 54. Token: PUNTO_COMA      | Valor: ';' | Línea: 123
